signal,target_role,universe,validation,algorithm,model,min_r2,median_r2,max_r2,r2_range
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.0676283344819034,0.3907226520563412,0.4706248332875791,0.4029964988056757
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,ElasticNet,M1_Macro,-3.636557970478596,-0.1522925854426811,0.2662191265741973,3.9027770970527933
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,ElasticNet,M2_Macro_Oil,-3.637509722829523,-0.1522925878758516,0.2663057818672856,3.9038155046968086
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,RandomForest,M1_Macro,-0.5752784102768591,-0.1293114227711913,0.343730529437992,0.9190089397148511
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,RandomForest,M2_Macro_Oil,-0.7677105519432257,-0.1066692609492589,0.3572510601688228,1.1249616121120485
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,Ridge,M1_Macro,-3.6777282076208175,-0.159250281047705,0.2637593462194638,3.941487553840281
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Future_Period,Ridge,M2_Macro_Oil,-3.6787854453601287,-0.1592540871100796,0.2638514951833617,3.9426369405434905
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.1856095935360937,0.4035383781956091,0.411000065846391,0.2253904723102973
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.1923672866747907,0.4095742159511084,0.4168450593271434,0.2244777726523527
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.1749864800691986,0.353066942122196,0.3690619768650545,0.1940754967958559
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,RandomForest,M3_Macro_Oil_RegQuality,0.2169537505992279,0.3624266926272391,0.3826397705014084,0.16568601990218051
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.1841823902337312,0.4024595586535932,0.4116818744859563,0.22749948425222508
Regulatory_Quality_lag1,normalized,All_Eligible,Country_Holdout_CV,Ridge,M3_Macro_Oil_RegQuality,0.1925462480287236,0.4063304590232653,0.4193908683866562,0.22684462035793257
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,ElasticNet,M2_Macro_Oil,0.1413133881644964,0.191796924308864,0.2646043238669765,0.12329093570248012
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,ElasticNet,M3_Macro_Oil_RegQuality,0.1467959319303459,0.197200283397246,0.2703267263935336,0.12353079446318771
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,RandomForest,M2_Macro_Oil,0.1774626872389592,0.2081551565832939,0.2628126100825285,0.08534992284356929
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,RandomForest,M3_Macro_Oil_RegQuality,0.1838728085351146,0.1875998898038734,0.2504456578467701,0.0665728493116555
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,Ridge,M2_Macro_Oil,0.1382027913996574,0.189876264100464,0.263427301636054,0.12522451023639658
Regulatory_Quality_lag1,normalized,All_Eligible,Future_Period,Ridge,M3_Macro_Oil_RegQuality,0.1447224593539587,0.1963767568445904,0.2704374318140682,0.12571497246010951
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2195166153658292,0.3261544401961302,0.4532429380119158,0.2337263226460866
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.2195166153658292,0.3044847270611243,0.4535884736292747,0.23407185826344548
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.1812195061377838,0.3228371867460896,0.4121590416983688,0.23093953556058502
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,RandomForest,M3_Macro_Oil_RegQuality,0.1886777698753826,0.2713856514233446,0.4162950294915573,0.22761725961617468
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2184370594418229,0.3221130216089888,0.452568618187001,0.2341315587451781
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,Ridge,M3_Macro_Oil_RegQuality,0.2175872244891787,0.2911324921527937,0.4534675794404657,0.23588035495128698
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,ElasticNet,M2_Macro_Oil,0.1756499490984475,0.2279991333187618,0.258369356648356,0.08271940754990847
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,ElasticNet,M3_Macro_Oil_RegQuality,0.1756202146382093,0.2274887303365301,0.2583686303324416,0.08274841569423233
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,RandomForest,M2_Macro_Oil,0.14575579610088,0.2019147679180984,0.2678732222238181,0.1221174261229381
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,RandomForest,M3_Macro_Oil_RegQuality,0.1829574755576631,0.2104695094763263,0.2699531945820285,0.0869957190243654
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,Ridge,M2_Macro_Oil,0.1712386022016613,0.2257752715999348,0.2558951883940932,0.08465658619243191
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,Ridge,M3_Macro_Oil_RegQuality,0.1710070033274475,0.2247014772284262,0.2565521233723393,0.08554512004489179
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.1407095066411741,0.4557351460385445,0.4660782332401633,0.3253687265989892
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.1404922044530357,0.4553771619714266,0.4631994265504963,0.3227072220974606
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.0954601533482375,0.3602043065560694,0.3865196096007346,0.29105945625249713
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,RandomForest,M3_Macro_Oil_RegQuality,0.1040353594744736,0.3932772325071343,0.4104383010029815,0.3064029415285079
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.1380775763448798,0.456259448302674,0.4668728398561862,0.3287952635113064
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M3_Macro_Oil_RegQuality,0.1361935904508033,0.4534677200137249,0.4615968573725372,0.32540326692173394
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M2_Macro_Oil,0.2853944821054719,0.3034801950981809,0.3452688601139895,0.05987437800851758
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M3_Macro_Oil_RegQuality,0.2853931988329654,0.3031321170409023,0.3431963022723038,0.05780310343933842
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M2_Macro_Oil,0.181580230127209,0.2122344759828712,0.2553400615586723,0.07375983143146328
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M3_Macro_Oil_RegQuality,0.1877451073740305,0.2185254883730795,0.2485282963482731,0.06078318897424259
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M2_Macro_Oil,0.2805401219274686,0.300910541105656,0.3430120858541522,0.06247196392668364
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M3_Macro_Oil_RegQuality,0.2805466963767973,0.3005465022421136,0.3408581213973556,0.06031142502055831
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2220606393936265,0.3509565324459801,0.4904642288137468,0.2684035894201203
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.2223190570286189,0.3486418113449281,0.4904642263751955,0.2681451693465766
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.2231187428587555,0.3035561231119736,0.4562718170436137,0.2331530741848582
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,RandomForest,M3_Macro_Oil_RegQuality,0.235500354923519,0.2778323384216817,0.4616442123017409,0.2261438573782219
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2203017632102102,0.3478306715160381,0.4914198591849901,0.27111809597477987
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,Ridge,M3_Macro_Oil_RegQuality,0.2231264018179566,0.341201572694405,0.4949746975043576,0.271848295686401
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,ElasticNet,M2_Macro_Oil,0.289784085658858,0.3061673564118117,0.335299524296982,0.04551543863812402
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,ElasticNet,M3_Macro_Oil_RegQuality,0.2904292393998431,0.3061668838205195,0.3352995967576816,0.04487035735783851
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,RandomForest,M2_Macro_Oil,0.2631141016400988,0.30563846785169,0.3699805646567765,0.10686646301667768
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,RandomForest,M3_Macro_Oil_RegQuality,0.2689218850703891,0.2959672401319252,0.3468050251097793,0.07788314003939018
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,Ridge,M2_Macro_Oil,0.288920850630736,0.305809855397981,0.333994371306672,0.04507352067593595
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,Ridge,M3_Macro_Oil_RegQuality,0.2906847899326564,0.3074094587120627,0.3360327484626332,0.045347958529976806
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2790414895721896,0.3268379969253487,0.4951215156563819,0.2160800260841923
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.2806595241163961,0.3151317151122571,0.4962820603530481,0.215622536236652
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.2160307970087571,0.2761854195743468,0.4206538313626904,0.2046230343539333
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,RandomForest,M3_Macro_Oil_RegQuality,0.0779541859860599,0.3017676494959411,0.4422461404576581,0.3642919544715982
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2774875210190837,0.322104342262025,0.4959654080418423,0.2184778870227586
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,Ridge,M3_Macro_Oil_RegQuality,0.2815676238953625,0.3098337721144746,0.4999931545686082,0.21842553067324572
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,ElasticNet,M2_Macro_Oil,0.236075846917164,0.2755905863416651,0.3031484986790117,0.06707265176184773
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,ElasticNet,M3_Macro_Oil_RegQuality,0.2369718679966063,0.2758594147081625,0.3034390679176262,0.0664671999210199
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,RandomForest,M2_Macro_Oil,0.2539342001307335,0.2738963460296665,0.300254749998179,0.04632054986744555
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,RandomForest,M3_Macro_Oil_RegQuality,0.223159201183333,0.2714527571470959,0.3322807965982817,0.1091215954149487
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,Ridge,M2_Macro_Oil,0.2324027893931091,0.2750495400098095,0.3014730404622044,0.06907025106909531
Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,Ridge,M3_Macro_Oil_RegQuality,0.2338530991479535,0.2772364618922189,0.3035393443955329,0.06968624524757938
Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.0643221924263955,0.3897849593659156,0.4494387562171583,0.38511656379076276
Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,ElasticNet,M3_Macro_Oil_RegQuality,0.0649403888372429,0.3902888666237274,0.452610468237871,0.3876700794006281
