Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1
OMN-2021,Oman,OMN,2021,1,49.6173962343468,9.769458175560104,100.0,25.052807583999726,-0.4064029194658499,8.247740210224338,14.994277961787,15.324575054018212
OMN-2022,Oman,OMN,2022,1,49.6173962343468,9.528325858334847,100.0,25.19288885302559,1.682211858760845,9.769458175560104,23.5387435070386,15.319682394725398
PNG-1997,Papua New Guinea,PNG,1997,1,15.1343158261002,4.036772715450082,11.0,22.36329329757816,11.62417829084481,5.392124635548061,10.3285381227809,15.38690635842178
PNG-1998,Papua New Guinea,PNG,1998,1,15.1343158261002,5.388530814054286,2.15848255157471,22.31994577133041,3.964378052284091,4.036772715450082,6.63547270216546,15.42252232969769
PNG-1999,Papua New Guinea,PNG,1999,1,15.1343158261002,6.390323882552281,4.29508972167969,22.055484883662107,13.57419176568089,5.388530814054286,4.33852138425411,15.457684936959236
PNG-2000,Papua New Guinea,PNG,2000,1,15.1343158261002,5.262669183945221,6.42685508728027,21.96944667783737,14.9321817407701,6.390323882552281,9.35013445235168,15.492482625141855
PNG-2001,Papua New Guinea,PNG,2001,1,15.1343158261002,4.839250118849718,12.4,21.98210735075985,15.59589331075352,5.262669183945221,15.1343158261002,15.526975134945156
PNG-2002,Papua New Guinea,PNG,2002,1,15.1343158261002,3.6974832640653834,12.7,21.84852791548145,9.298173327839685,4.839250118849718,10.0494445711599,15.560953102044278
PNG-2003,Papua New Guinea,PNG,2003,1,15.1343158261002,5.820710991943491,13.1,21.821715126063363,11.79944709726063,3.6974832640653834,8.30071007566483,15.594523129589044
PNG-2004,Papua New Guinea,PNG,2004,1,15.1343158261002,4.175944997121362,13.4,21.98637844136993,14.70907796635569,5.820710991943491,8.5315713263891,15.627725709175726
PNG-2005,Papua New Guinea,PNG,2005,1,15.1343158261002,4.381591976497932,13.8,22.09118181238734,2.158931312669455,4.175944997121362,9.98265210787866,15.660501425575742
PNG-2006,Papua New Guinea,PNG,2006,1,15.1343158261002,5.549466418091522,14.1,22.30551608626025,1.780804399258265,4.381591976497932,13.5759956853375,15.69282153353361
PNG-2007,Papua New Guinea,PNG,2007,1,15.1343158261002,5.565568214503459,12.4,22.84611535162433,2.368462384168295,5.549466418091522,9.32165114223731,15.724715376209367
PNG-2008,Papua New Guinea,PNG,2008,1,15.1343158261002,4.56151309086126,14.9,22.97928632663349,0.9113504556752402,5.565568214503459,8.10660630103675,15.756170663915162
PNG-2009,Papua New Guinea,PNG,2009,1,15.1343158261002,6.733495596095708,15.3,23.180363784305825,10.76141823268266,4.56151309086126,8.52783686957129,15.787228098709642
PNG-2010,Papua New Guinea,PNG,2010,1,15.1343158261002,4.26544605425098,17.2,23.17594681019055,6.918325326012237,6.733495596095708,4.00467749044639,15.817860314961417
PNG-2011,Papua New Guinea,PNG,2011,1,15.1343158261002,4.2884345673254805,19.5,23.38007794745497,6.013608935678564,4.26544605425098,4.61457234233034,15.848060157710348
PNG-2012,Papua New Guinea,PNG,2012,1,15.1343158261002,4.053709579644903,17.3,23.612811590842675,4.44083401028971,4.2884345673254805,4.85140837264189,15.87721408207374
PNG-2013,Papua New Guinea,PNG,2013,1,15.1343158261002,3.982047069036615,17.5,23.781746060775063,4.537205081669719,4.053709579644903,3.56540758499502,15.905074569145915
PNG-2014,Papua New Guinea,PNG,2014,1,15.1343158261002,4.07568672155793,17.8,23.78015614606776,4.960317460317502,3.982047069036615,3.43617432270382,15.932091200629923
PNG-2015,Papua New Guinea,PNG,2015,1,15.1343158261002,4.095550565411292,18.1,23.867884558037662,5.222117202268408,4.07568672155793,4.5168090264406,15.958330807833592
PNG-2016,Papua New Guinea,PNG,2016,1,15.1343158261002,-4.359772056540524,18.4,23.80165756125651,5.995957781271074,4.095550565411292,2.27122940050953,15.983792188936338
PNG-2017,Papua New Guinea,PNG,2017,1,15.1343158261002,-5.882026876014606,13.5,23.75623979713454,6.673728813559295,-4.359772056540524,1.86576642511912,16.008472619228314
PNG-2018,Papua New Guinea,PNG,2018,1,15.1343158261002,6.418829201608673,19.2,23.84751001388712,5.422045680238336,-5.882026876014606,2.22581954930201,16.032397774585302
PNG-2019,Papua New Guinea,PNG,2019,1,15.1343158261002,6.508986398878387,16.6,23.90588343366166,4.374489214531625,6.418829201608673,2.22689061511957,16.05563645984825
PNG-2020,Papua New Guinea,PNG,2020,1,15.1343158261002,5.420489387944228,23.6,23.932116619818096,3.928672909395973,6.508986398878387,1.5719422304623,16.078211862018872
PNG-2021,Papua New Guinea,PNG,2021,1,15.1343158261002,-4.231943404998093,20.5,23.89498497252392,4.871673985655547,5.420489387944228,0.709889074758713,16.099498490794595
PNG-2022,Papua New Guinea,PNG,2022,1,15.1343158261002,7.777596869107627,20.9,23.98571479247032,4.483590140423982,-4.231943404998093,1.87502650776602,16.119384520009646
QAT-1991,Qatar,QAT,1991,1,48.6558768141096,4.443730109852029,100.0,22.719385490925525,3.000968054211097,2.2886286964057576,48.6558768141096,12.994929925915772
QAT-1992,Qatar,QAT,1992,1,48.6558768141096,4.371630666210309,100.0,22.652395475251428,4.417293233082545,4.443730109852029,27.8476783265963,13.027731767319487
QAT-1993,Qatar,QAT,1993,1,48.6558768141096,4.970555657925754,100.0,22.757468593278187,3.060306030603112,4.371630666210309,28.2611526136542,13.059760049239046
QAT-1994,Qatar,QAT,1994,1,48.6558768141096,5.574826473739574,100.0,22.69129992363687,-0.8733624454148003,4.970555657925754,27.8285185550461,13.090967649046588
QAT-1995,Qatar,QAT,1995,1,48.6558768141096,5.231778681143188,100.0,22.72128723476309,1.32158590308376,5.574826473739574,27.8536283294125,13.121282793784085
QAT-1996,Qatar,QAT,1996,1,48.6558768141096,6.5187659106366205,100.0,22.819799483925426,2.956521739130301,5.231778681143188,26.8649643256338,13.150612584636464
QAT-1997,Qatar,QAT,1997,1,48.6558768141096,6.729419203866942,100.0,22.92706217955625,4.904534606205324,6.5187659106366205,36.8699208406966,13.178781517309128
QAT-1998,Qatar,QAT,1998,1,48.6558768141096,6.543338212974869,100.0,23.147874048066747,4.83448981913322,6.729419203866942,33.9039217305219,13.218584051673648
QAT-1999,Qatar,QAT,1999,1,48.6558768141096,5.422764436675649,100.0,23.05107944832176,2.951388888888905,6.543338212974869,26.4784043103748,13.271715706394293
QAT-2000,Qatar,QAT,2000,1,48.6558768141096,6.220991654650195,100.0,23.240408274586745,2.181703204047225,5.422764436675649,32.8896055971835,13.325305854052749
QAT-2001,Qatar,QAT,2001,1,48.6558768141096,6.3818865596354,100.0,23.600208387041413,1.650335224342319,6.220991654650195,40.7661397416806,13.376990091781757
QAT-2002,Qatar,QAT,2002,1,48.6558768141096,7.129169977799156,100.0,23.58766210849633,1.47133434804683,6.3818865596354,34.9268648116195,13.42679341642306
QAT-2003,Qatar,QAT,2003,1,48.6558768141096,7.130771462266904,100.0,23.68666788905589,0.2399999999999517,7.129169977799156,31.8348108510858,13.47471739959169
QAT-2004,Qatar,QAT,2004,1,48.6558768141096,7.782365488333206,100.0,23.88170314909493,2.264565043894687,7.130771462266904,33.8929726986092,13.520713903453752
QAT-2005,Qatar,QAT,2005,1,48.6558768141096,8.517193231416234,100.0,24.180656575998192,6.799336650082785,7.782365488333206,34.825040164201,13.558465023939808
QAT-2006,Qatar,QAT,2006,1,48.6558768141096,8.853665448445613,100.0,24.51944006123733,8.81439532334683,8.517193231416234,38.1771562134119,13.623634300045389
QAT-2007,Qatar,QAT,2007,1,48.6558768141096,9.148464979575431,100.0,24.83220574794451,11.83580961974312,8.853665448445613,34.1520126219521,13.78796668438986
QAT-2008,Qatar,QAT,2008,1,48.6558768141096,8.930263026459453,100.0,25.101683632434177,13.75816257599642,9.148464979575431,30.8003611618771,14.004969913289688
QAT-2009,Qatar,QAT,2009,1,48.6558768141096,9.695815730710573,100.0,25.47054113291034,15.05014515703332,8.930263026459453,32.6040710093919,14.17104214852357
QAT-2010,Qatar,QAT,2010,1,48.6558768141096,9.142132133340652,100.0,25.30617355954404,-4.863278016225647,9.695815730710573,23.0165618959946,14.291063759806711
QAT-2011,Qatar,QAT,2011,1,48.6558768141096,7.537447883943764,100.0,25.55255711828284,-2.425256751617138,9.142132133340652,26.6026039782648,14.295979855551032
QAT-2012,Qatar,QAT,2012,1,48.6558768141096,6.674257690105802,100.0,25.84589127045785,1.13836623529202,7.537447883943764,29.9468705202351,14.300871901480974
QAT-2013,Qatar,QAT,2013,1,48.6558768141096,-7.427007197046166,100.0,25.953483695501813,2.315348534316611,6.674257690105802,28.3389822463275,14.359251867599912
QAT-2014,Qatar,QAT,2014,1,48.6558768141096,7.640493157781193,100.0,26.015201095942423,3.221977568292933,-7.427007197046166,25.3595869913171,14.465973072808575
QAT-2015,Qatar,QAT,2015,1,48.6558768141096,7.669382596980041,100.0,26.05223169613987,3.349720856595234,7.640493157781193,21.5388184142326,14.581790163557978
QAT-2016,Qatar,QAT,2016,1,48.6558768141096,7.344591684203397,100.0,25.8092556699629,1.814077239377604,7.669382596980041,13.0300594635573,14.667607455956048
QAT-2017,Qatar,QAT,2017,1,48.6558768141096,7.586792647214329,100.0,25.74538284232568,2.676591700981896,7.344591684203397,11.1615579117458,14.722604730827872
QAT-2018,Qatar,QAT,2018,1,48.6558768141096,-8.383096542202164,100.0,25.80528567848802,0.3948789140830052,7.586792647214329,13.5394624768111,14.74996374926496
QAT-2019,Qatar,QAT,2019,1,48.6558768141096,-8.635025097530674,100.0,25.9345806654822,0.2558153827244081,-8.383096542202164,16.2911609453974,14.763584800047068
